EntryNum	Species_CN	Species_Latin	Genus_CN	Genus_Latin	Family_CN	Family_Latin	DiseaseName	Viruses	Symptoms	Figures	Description
43	大青	Clerodendrum  cyrtophyllum	大青属(属		唇形科	Lamiaceae		命名为中国大青金花叶病毒; 双组分菜豆金色黄花叶病毒; clerodendrum golden mosaic China virus; 发现大青曲叶和黄花叶病		1	大青俗名鸡屎青、猪屎青、臭叶树、野靛青、牛耳青、山漆、山尾花、淡婆婆、青 心草、臭冲柴、鸭公青、山靛青、土地骨皮、路边青，灌木或小乔木，高可达10米，分 布于我国的华东、中南、西南，常见于丘陵、平原、林缘、路旁、溪边。
44	活血丹	Glechoma  longituba	活血丹属(属		唇形科	Lamiaceae				1	活血丹又名特巩消、退骨草、透骨草、金钱草、连钱草、佛耳草、落地金钱等，多 年生草本，生于林缘、疏林下、草地中、溪边等阴湿处，除甘肃、青海、新疆和西藏 外，全国各地均有分布。活血丹既可口服，又可外用，具有利湿通淋、清热解毒、散瘀 消肿等功效，主要含有黄酮、萜类、有机酸等成分。
45	藿香	Agastache rugosa	藿香属 (属		唇形科	Lamiaceae				1	藿香俗名芭蒿、野藿香、野薄荷、山薄荷、大叶薄荷、土藿香、薄荷、八蒿、拉拉 香、山猫巴、猫尾巴香、猫巴虎、猫巴蒿、把蒿、山茴香，多年生草本，为药食同源植 物，具有很高的药用价值和食用价值，被东亚及东南亚各国作为传统药物广泛使用。
46	月季	Rosa chinensis	蔷薇属(属		蔷薇科	Rosaceae		Prunus  necrotic   ringspot   virus; 病毒主要包括苹果花叶病毒; 南芥菜花叶病; 玫瑰黄花叶病毒; apple   stem    grooving   virus; Rosa  multiflora  cryptic  virus; arabis mosaic virus; rose  yellow  mosaic  virus; apple   mosaic   virus; rose   rosette   virus		1	月季又名月月红、四季红、月季红，多年生木本植物，原产于我国，主产于江苏、 山东、山西、河北等地，其中江苏月季产量大、品质佳。月季全年均可采收，在花微开  时采摘，阴干或低温干燥。月季生命力强，适应性好，容易繁殖，深受人们喜爱，是著 名的切花品种，被誉为花中皇后，极具观赏价值，不仅在切花和盆栽中应用广泛，而且  在园林绿化中也发挥着极大的作用。此外，它还具有抗菌、抗病毒、抗氧化、抑制肿  瘤、增强机
48	杏	Prunus armeniaca	李属(属		蔷薇科	Rosaceae		阳市发现了具有黄斑驳病; 相关病毒为芜菁黄花叶病毒		1	山桃又名苦桃、野桃、山毛桃、桃花，属小乔木，喜光、耐旱、耐寒、耐瘠薄，但 不耐涝，有极强的萌蘖能力，尤其是当根部受到损伤时，可以萌发出很多枝条。由于其 高效的水土保持特性，山桃成为东北地区普遍种植的观赏植物，被广泛应用于城市景观 和园林绿化之中。
49	苹果	Malus pumila	苹果属 (属		蔷薇科	Rosaceae				1	
50	茉莉花	Jasminum sambac	素馨属(属		蔷薇科	Oleaceae				0	典型的茉莉病毒病症状为枝 芽丛簇或呈扫帚状，叶片细长卷 曲呈皱缩状，花畸形甚至不能开 花。目前报道的茉莉病毒只有长 线型病毒科( Closteroviridae ) 的 茉 莉A 病 毒 ( jasmine    virus    A, JaVA)、马铃薯Y病毒属( Potyvirus)
51	东北连翘	Forsythia  mandschurica	连翘属 (属		蔷薇科	Oleaceae				1	东北连翘是一种优良的早春花灌木，与很多植物不同，它是先开花再长出叶子，并 且花期较早。东北连翘原产于辽宁省凤凰山一带，东北三省均有栽培，在绿化美化城市 方面应用广泛。其茎、叶、果实、根均具有药用价值，可以起到清热解毒、镇定消肿的 作用，是药用和绿化用优质树种。其萌发力强，树冠增长较快，具有良好的水土保持作 用，是国家林业和草原局推荐的退耕还林和防治水土流失的最佳经济树种。
52	暴马丁香	Syringa reticulata   subsp. amurensis	丁香属 (属		蔷薇科	Oleaceae				1	
53	藜	Chenopodium  album	藜属(属		苋科	Amaranthaceae		potato   Y   virus		1	藜别称灰条菜、灰藿， 一年生草本，高30～150厘米，其分布遍及全球温带及热 带，且在我国各地均有分布。藜具有很强的抗逆性，能够在恶劣的环境中旺盛生长，多 生长于荒地、路旁及山坡等地，为很难除掉的杂草。据报道，藜还具有很高的营养价值 和药用价值。
